Project Name,Number of Issues,Rule IDs
Candy Land Game,0,
cloud-resource-templates,0,
demo-dependabot,0,
demo-java-security,1,java:S1135
dsdsdsds,0,
dvpwa,0,
fdfd,0,
fdfdffd,0,
ff,0,
flow-focus-list,0,
gfgf,0,
hustle-balance-boost,0,
juice-shop,0,
kover-jacoco,0,
linux-cmake-gitlab-ci-sq,0,
linux-cmake-jenkins-sq,0,
maven-test,0,
monorepo-cmd-auth,0,
monorepo-cmd-bookings,0,
monorepo-cmd-movies,0,
monorepo-cmd-showtimes,0,
monorepo-cmd-users,0,
NFT-Landing-Page,0,
pascal-test,0,
Python Spam Detector,0,
roberto-luzardo-sonarsource_sonar-scanning-examples_add-your-reference,0,
roberto-luzardo-sonarsource_sonar-scanning-examples_add-your-reference-6,0,
security,0,
sonar-custom-plugin-example,0,
Sonar Scanning Examples-Gitlab,0,
SonarSource-Demos_ai-generated-playground_c0a1cae9-4b07-4d54-be19-4441d10b2855,0,
SonarSource-Demos_GitHub-Monorepo-Example_add-your-reference,0,
SonarSource-Demos_GitHub-Monorepo-Example_add-your-reference-1,0,
terdf,0,
test,0,
Test123,0,
test_associated_bank,0,
test-copilot,0,
test-cpp,0,
testfdfdfd,0,
test-project-token,0,
tools-and-scripts,0,
vulnerable_cpp_example,0,
WebGoat,500,"Web:ImgWithoutAltCheck, Web:ItemTagNotWithinContainerTagCheck, Web:MouseEventWithoutKeyboardEquivalentCheck, Web:S6821, Web:S6822, Web:S6840, Web:S6841, Web:S6844, Web:S6848, Web:S6850, Web:S6851, java:S100, java:S1075, java:S1125, java:S1126, java:S1130, java:S1155, java:S116, java:S117, java:S1197, java:S1319, java:S1481, java:S1488, java:S1602, java:S1612, java:S1643, java:S1659, java:S1874, java:S2130, java:S2147, java:S2293, java:S2386, java:S3008, java:S3024, java:S3878, java:S4719, java:S5411, java:S5857, java:S6353, java:S7158, java:S7467, java:S899, javascript:S1125, javascript:S1126, javascript:S1472, javascript:S1481, javascript:S1516, javascript:S2486, javascript:S3626, javascript:S4138, javascript:S5842, javascript:S6325, javascript:S6353, javascript:S6594, javascript:S7718, javascript:S7728, javascript:S7735, javascript:S7741, javascript:S7755, javascript:S7759, javascript:S7764, javascript:S7765, javascript:S7773, javascript:S7778, javascript:S7780, javascript:S7781"
